invoiceno,invoicedate,customerid,country,amount
549023,05.04.2011,777777,United Kingdom,1138
549026,05.04.2011,17409,United Kingdom,261
549027,05.04.2011,17857,United Kingdom,5424
549028,05.04.2011,777777,United Kingdom,0
549029,05.04.2011,777777,United Kingdom,0
549030,05.04.2011,777777,United Kingdom,0
549031,05.04.2011,777777,United Kingdom,0
549032,05.04.2011,777777,United Kingdom,0
549033,05.04.2011,777777,United Kingdom,0
549034,05.04.2011,777777,United Kingdom,0
549035,05.04.2011,777777,United Kingdom,0
549036,05.04.2011,777777,United Kingdom,0
549037,05.04.2011,777777,United Kingdom,0
549038,05.04.2011,777777,United Kingdom,0
549040,05.04.2011,777777,United Kingdom,2
549042,05.04.2011,777777,United Kingdom,0
549043,05.04.2011,777777,United Kingdom,0
549044,06.04.2011,16161,United Kingdom,343
549046,06.04.2011,15291,United Kingdom,303
549047,06.04.2011,17783,United Kingdom,115
549048,06.04.2011,17811,United Kingdom,113
549052,06.04.2011,17682,United Kingdom,363
549053,06.04.2011,13863,United Kingdom,306
549054,06.04.2011,17719,United Kingdom,312
549055,06.04.2011,13515,United Kingdom,204
549056,06.04.2011,15917,United Kingdom,123
549059,06.04.2011,15529,United Kingdom,199
549099,06.04.2011,16241,United Kingdom,234
549100,06.04.2011,777777,United Kingdom,3272
549101,06.04.2011,14606,United Kingdom,147
549102,06.04.2011,13266,United Kingdom,303
549103,06.04.2011,777777,United Kingdom,0
549104,06.04.2011,15311,United Kingdom,705
549105,06.04.2011,17440,United Kingdom,118
549106,06.04.2011,17045,United Kingdom,40
549107,06.04.2011,17440,United Kingdom,7
549115,06.04.2011,13098,United Kingdom,1719
549116,06.04.2011,16670,United Kingdom,559
549117,06.04.2011,13491,United Kingdom,136
549118,06.04.2011,14911,EIRE,958
549119,06.04.2011,14220,United Kingdom,320
549120,06.04.2011,14587,United Kingdom,177
549121,06.04.2011,17140,United Kingdom,468
549122,06.04.2011,777777,United Kingdom,22
549123,06.04.2011,15201,United Kingdom,301
549124,06.04.2011,16672,United Kingdom,481
549125,06.04.2011,14964,United Kingdom,209
549126,06.04.2011,16031,United Kingdom,305
549127,06.04.2011,14403,United Kingdom,788
549128,06.04.2011,16713,United Kingdom,309
549129,06.04.2011,17042,United Kingdom,272
549130,06.04.2011,14701,United Kingdom,275
549131,06.04.2011,16378,United Kingdom,76
549132,06.04.2011,777777,United Kingdom,0
549133,06.04.2011,777777,United Kingdom,0
549134,06.04.2011,777777,United Kingdom,0
549135,06.04.2011,777777,United Kingdom,0
549136,06.04.2011,777777,United Kingdom,0
549137,06.04.2011,777777,United Kingdom,0
549138,06.04.2011,777777,United Kingdom,0
549139,06.04.2011,777777,United Kingdom,0
549140,06.04.2011,777777,United Kingdom,0
549141,06.04.2011,777777,United Kingdom,0
549142,06.04.2011,777777,United Kingdom,0
549143,06.04.2011,777777,United Kingdom,0
549144,06.04.2011,777777,United Kingdom,0
549145,06.04.2011,777777,United Kingdom,0
549146,06.04.2011,777777,United Kingdom,0
549147,06.04.2011,777777,United Kingdom,0
549148,06.04.2011,14534,United Kingdom,188
549149,06.04.2011,777777,United Kingdom,0
549150,06.04.2011,777777,United Kingdom,0
549151,06.04.2011,777777,United Kingdom,0
549153,06.04.2011,13771,United Kingdom,871
549154,06.04.2011,17690,United Kingdom,311
549155,06.04.2011,777777,United Kingdom,1341
549156,06.04.2011,777777,United Kingdom,0
549157,06.04.2011,777777,United Kingdom,0
549158,06.04.2011,777777,United Kingdom,0
549159,06.04.2011,777777,United Kingdom,0
549160,06.04.2011,777777,United Kingdom,0
549161,06.04.2011,777777,United Kingdom,0
549163,06.04.2011,777777,United Kingdom,0
549164,06.04.2011,777777,United Kingdom,0
549165,06.04.2011,777777,United Kingdom,0
549166,06.04.2011,777777,United Kingdom,0
549167,06.04.2011,777777,United Kingdom,0
549168,06.04.2011,777777,United Kingdom,0
549169,06.04.2011,17906,United Kingdom,75
549170,06.04.2011,777777,United Kingdom,0
549171,06.04.2011,777777,United Kingdom,0
549172,06.04.2011,777777,United Kingdom,0
549173,06.04.2011,777777,United Kingdom,0
549174,06.04.2011,777777,United Kingdom,0
549175,06.04.2011,777777,United Kingdom,0
549176,06.04.2011,777777,United Kingdom,0
549177,06.04.2011,777777,United Kingdom,0
549178,06.04.2011,777777,United Kingdom,0
549179,06.04.2011,777777,United Kingdom,0
549180,06.04.2011,777777,United Kingdom,0
549181,07.04.2011,777777,United Kingdom,12
549182,07.04.2011,15646,United Kingdom,149
549183,07.04.2011,14239,United Kingdom,145
549185,07.04.2011,18272,United Kingdom,644
549186,07.04.2011,15838,United Kingdom,270
549187,07.04.2011,16144,United Kingdom,175
549188,07.04.2011,13731,United Kingdom,308
549189,07.04.2011,15235,United Kingdom,227
549190,07.04.2011,13748,United Kingdom,230
549192,07.04.2011,14961,United Kingdom,347
549193,07.04.2011,12580,Germany,413
549196,07.04.2011,14911,EIRE,359
549206,07.04.2011,15281,United Kingdom,104
549222,07.04.2011,12347,Iceland,637
549225,07.04.2011,13777,United Kingdom,326
549233,07.04.2011,14912,Italy,484
549234,07.04.2011,16515,United Kingdom,303
549235,07.04.2011,15530,United Kingdom,555
549236,07.04.2011,777777,United Kingdom,39
549237,07.04.2011,13950,United Kingdom,180
549238,07.04.2011,14667,United Kingdom,390
549239,07.04.2011,13102,United Kingdom,247
549240,07.04.2011,15910,United Kingdom,119
549241,07.04.2011,15719,United Kingdom,336
549242,07.04.2011,14911,EIRE,227
549243,07.04.2011,16043,United Kingdom,145
549244,07.04.2011,777777,United Kingdom,0
549245,07.04.2011,15005,United Kingdom,145
549246,07.04.2011,15939,United Kingdom,1072
549247,07.04.2011,13752,United Kingdom,278
549248,07.04.2011,13892,United Kingdom,54
549249,07.04.2011,12423,Belgium,255
549250,07.04.2011,14446,United Kingdom,307
549251,07.04.2011,14449,United Kingdom,192
549255,07.04.2011,16209,United Kingdom,307
549256,07.04.2011,15754,United Kingdom,92
549257,07.04.2011,14465,United Kingdom,193
549258,07.04.2011,13102,United Kingdom,329
549259,07.04.2011,13712,United Kingdom,229
549260,07.04.2011,17790,United Kingdom,108
549261,07.04.2011,14903,United Kingdom,585
549262,07.04.2011,14465,United Kingdom,270
549263,07.04.2011,15800,United Kingdom,246
549264,07.04.2011,777777,United Kingdom,0
549266,07.04.2011,777777,United Kingdom,0
549267,07.04.2011,777777,United Kingdom,0
549268,07.04.2011,777777,United Kingdom,0
549270,07.04.2011,777777,United Kingdom,0
549271,07.04.2011,777777,United Kingdom,0
549272,07.04.2011,17133,United Kingdom,359
549273,07.04.2011,13089,United Kingdom,312
549274,07.04.2011,12721,France,367
549275,07.04.2011,15916,United Kingdom,163
549276,07.04.2011,16745,United Kingdom,265
549277,07.04.2011,16469,United Kingdom,97
549278,07.04.2011,16255,United Kingdom,166
549279,07.04.2011,16469,United Kingdom,184
549280,07.04.2011,13854,United Kingdom,430
549281,07.04.2011,17735,United Kingdom,572
549282,07.04.2011,13718,United Kingdom,193
549283,07.04.2011,13005,United Kingdom,322
549284,07.04.2011,15694,United Kingdom,365
549285,07.04.2011,14981,United Kingdom,101
549286,07.04.2011,17928,United Kingdom,78
549287,07.04.2011,14527,United Kingdom,40
549289,07.04.2011,14395,United Kingdom,188
549291,07.04.2011,16261,United Kingdom,257
549292,07.04.2011,17869,United Kingdom,91
549293,07.04.2011,17883,United Kingdom,118
549294,07.04.2011,13230,United Kingdom,205
549295,07.04.2011,777777,United Kingdom,1622
549296,08.04.2011,14619,United Kingdom,395
549297,08.04.2011,18061,United Kingdom,213
549298,08.04.2011,13015,United Kingdom,314
549299,08.04.2011,13995,United Kingdom,309
549300,08.04.2011,13362,United Kingdom,771
549301,08.04.2011,16643,United Kingdom,489
549302,08.04.2011,14246,United Kingdom,451
549303,08.04.2011,18040,United Kingdom,240
549304,08.04.2011,16133,United Kingdom,301
549305,08.04.2011,15189,United Kingdom,153
549306,08.04.2011,16837,United Kingdom,150
549307,08.04.2011,15119,United Kingdom,267
549308,08.04.2011,13767,United Kingdom,137
549309,08.04.2011,15114,United Kingdom,215
549310,08.04.2011,16325,United Kingdom,191
549311,08.04.2011,14924,United Kingdom,311
549312,08.04.2011,14217,United Kingdom,113
549313,08.04.2011,12393,Australia,423
549314,08.04.2011,777777,United Kingdom,2
549316,08.04.2011,12705,Germany,1326
549317,08.04.2011,15109,United Kingdom,491
549318,08.04.2011,13911,United Kingdom,249
549319,08.04.2011,16623,United Kingdom,130
549320,08.04.2011,16010,United Kingdom,117
549321,08.04.2011,14243,United Kingdom,374
549322,08.04.2011,16558,United Kingdom,233
549323,08.04.2011,12999,United Kingdom,321
549324,08.04.2011,16045,United Kingdom,197
549325,08.04.2011,12717,Greece,611
549326,08.04.2011,777777,United Kingdom,0
549327,08.04.2011,777777,United Kingdom,0
549328,08.04.2011,777777,United Kingdom,0
549329,08.04.2011,777777,United Kingdom,0
549330,08.04.2011,777777,United Kingdom,0
549331,08.04.2011,777777,United Kingdom,0
549332,08.04.2011,777777,United Kingdom,0
549340,08.04.2011,777777,United Kingdom,0
549342,08.04.2011,777777,United Kingdom,0
549343,08.04.2011,777777,United Kingdom,0
549344,08.04.2011,777777,United Kingdom,0
549345,08.04.2011,777777,United Kingdom,0
549346,08.04.2011,777777,United Kingdom,0
549347,08.04.2011,777777,United Kingdom,0
549348,08.04.2011,777777,United Kingdom,0
549349,08.04.2011,777777,United Kingdom,0
549350,08.04.2011,777777,United Kingdom,0
549351,08.04.2011,777777,United Kingdom,0
549353,08.04.2011,13962,United Kingdom,118
549355,08.04.2011,777777,United Kingdom,0
549360,08.04.2011,17035,United Kingdom,175
549368,08.04.2011,18036,United Kingdom,111
549371,08.04.2011,777777,United Kingdom,0
549372,08.04.2011,14958,United Kingdom,210
549373,08.04.2011,777777,United Kingdom,0
549374,08.04.2011,777777,United Kingdom,0
549375,08.04.2011,777777,United Kingdom,0
549376,08.04.2011,777777,United Kingdom,0
549387,08.04.2011,13178,United Kingdom,481
549412,08.04.2011,14258,United Kingdom,719
549417,08.04.2011,14258,United Kingdom,80
549424,08.04.2011,15367,United Kingdom,653
549425,08.04.2011,14030,United Kingdom,341
549426,08.04.2011,777777,United Kingdom,0
549427,08.04.2011,777777,United Kingdom,0
549428,08.04.2011,15815,United Kingdom,452
549429,08.04.2011,17001,United Kingdom,315
549431,08.04.2011,15874,United Kingdom,1160
549432,08.04.2011,14264,United Kingdom,116
549433,08.04.2011,16709,United Kingdom,151
549434,08.04.2011,12647,Germany,351
549435,08.04.2011,12356,Portugal,480
549436,08.04.2011,18041,United Kingdom,114
549439,08.04.2011,13562,United Kingdom,607
549440,08.04.2011,17162,United Kingdom,173
549441,08.04.2011,17162,United Kingdom,10
549442,08.04.2011,16996,United Kingdom,330
549443,08.04.2011,15775,United Kingdom,105
549444,08.04.2011,16013,United Kingdom,375
549445,08.04.2011,17809,United Kingdom,270
549446,08.04.2011,17054,United Kingdom,315
549447,08.04.2011,17268,United Kingdom,138
549448,08.04.2011,13078,United Kingdom,302
549449,08.04.2011,14227,United Kingdom,305
549451,08.04.2011,16556,United Kingdom,318
549453,08.04.2011,777777,United Kingdom,0
549454,08.04.2011,777777,United Kingdom,0
549455,08.04.2011,777777,United Kingdom,0
549456,08.04.2011,777777,United Kingdom,0
549457,08.04.2011,777777,United Kingdom,0
549458,08.04.2011,777777,United Kingdom,0
549459,08.04.2011,777777,United Kingdom,0
549460,08.04.2011,777777,United Kingdom,0
549461,08.04.2011,777777,United Kingdom,0
549462,08.04.2011,777777,United Kingdom,0
549463,08.04.2011,777777,United Kingdom,0
549464,08.04.2011,777777,United Kingdom,0
549465,08.04.2011,777777,United Kingdom,0
549466,08.04.2011,777777,United Kingdom,0
549467,08.04.2011,13305,United Kingdom,195
549468,08.04.2011,17940,United Kingdom,1868
549470,08.04.2011,777777,United Kingdom,0
549471,08.04.2011,17389,United Kingdom,74
549489,08.04.2011,777777,United Kingdom,0
549492,08.04.2011,777777,United Kingdom,0
549494,08.04.2011,777777,United Kingdom,0
549497,08.04.2011,777777,United Kingdom,0
549498,08.04.2011,777777,United Kingdom,0
549500,08.04.2011,777777,United Kingdom,0
549502,08.04.2011,777777,United Kingdom,0
549506,08.04.2011,777777,United Kingdom,0
549510,08.04.2011,777777,United Kingdom,0
549514,08.04.2011,777777,United Kingdom,0
549520,08.04.2011,13265,United Kingdom,818
549522,08.04.2011,16873,United Kingdom,528
549523,08.04.2011,12748,United Kingdom,33
549524,08.04.2011,777777,United Kingdom,1443
549525,08.04.2011,777777,United Kingdom,1054
549526,08.04.2011,13630,United Kingdom,430
549527,08.04.2011,777777,United Kingdom,0
549528,08.04.2011,777777,United Kingdom,0
549529,08.04.2011,777777,United Kingdom,0
549531,08.04.2011,777777,United Kingdom,0
549534,08.04.2011,777777,United Kingdom,1
549536,08.04.2011,777777,United Kingdom,8
549537,08.04.2011,777777,United Kingdom,73
549538,08.04.2011,17961,United Kingdom,31
549539,10.04.2011,15465,United Kingdom,293
549541,10.04.2011,17268,United Kingdom,138
549542,10.04.2011,15311,United Kingdom,862
549543,10.04.2011,18118,United Kingdom,199
549546,10.04.2011,16889,United Kingdom,709
549547,10.04.2011,16359,United Kingdom,425
549548,10.04.2011,13548,United Kingdom,283
549550,10.04.2011,15038,United Kingdom,157
549551,10.04.2011,15955,United Kingdom,494
549552,10.04.2011,13508,United Kingdom,109
549553,10.04.2011,16931,United Kingdom,148
549554,10.04.2011,16779,United Kingdom,479
549555,10.04.2011,13606,United Kingdom,183
549556,10.04.2011,17372,United Kingdom,217
549557,10.04.2011,14450,United Kingdom,108
549558,10.04.2011,15058,United Kingdom,174
549559,10.04.2011,12447,Belgium,479
549560,10.04.2011,15058,United Kingdom,94
549561,10.04.2011,13570,United Kingdom,240
549562,10.04.2011,13232,United Kingdom,117
549563,10.04.2011,14030,United Kingdom,112
549564,10.04.2011,18129,United Kingdom,114
549566,10.04.2011,13610,United Kingdom,112
549567,10.04.2011,13632,United Kingdom,258
549568,10.04.2011,15665,United Kingdom,1472
549569,10.04.2011,15547,United Kingdom,283
549570,10.04.2011,17550,United Kingdom,160
549571,10.04.2011,15655,United Kingdom,561
549572,10.04.2011,17757,United Kingdom,191
549573,10.04.2011,14504,United Kingdom,263
549574,10.04.2011,18226,United Kingdom,330
549575,10.04.2011,13956,United Kingdom,173
549576,11.04.2011,17069,United Kingdom,473
549577,11.04.2011,14286,United Kingdom,2046
549578,11.04.2011,17340,United Kingdom,833
549579,11.04.2011,15780,United Kingdom,226
549581,11.04.2011,16188,United Kingdom,152
549583,11.04.2011,15214,United Kingdom,515
549584,11.04.2011,17574,United Kingdom,185
549585,11.04.2011,14616,United Kingdom,158
549586,11.04.2011,777777,United Kingdom,2039
549587,11.04.2011,15737,United Kingdom,475
549588,11.04.2011,12428,Finland,374
549589,11.04.2011,16552,United Kingdom,286
549590,11.04.2011,13324,United Kingdom,422
549591,11.04.2011,18080,United Kingdom,841
549592,11.04.2011,14311,United Kingdom,312
549593,11.04.2011,18008,United Kingdom,162
549594,11.04.2011,16029,United Kingdom,470
549595,11.04.2011,13324,United Kingdom,904
549596,11.04.2011,14339,United Kingdom,308
549597,11.04.2011,16133,United Kingdom,403
549614,11.04.2011,12720,Germany,293
549619,11.04.2011,13798,United Kingdom,667
549628,11.04.2011,13798,United Kingdom,273
549633,11.04.2011,15671,United Kingdom,375
549646,11.04.2011,12982,United Kingdom,389
549664,11.04.2011,13113,United Kingdom,148
549665,11.04.2011,14541,United Kingdom,136
549667,11.04.2011,14911,EIRE,743
549668,11.04.2011,777777,United Kingdom,34
549669,11.04.2011,13113,United Kingdom,3
549670,11.04.2011,16168,United Kingdom,140
549678,11.04.2011,16525,United Kingdom,436
549679,11.04.2011,16407,United Kingdom,60
549680,11.04.2011,12701,Germany,340
549681,11.04.2011,13881,United Kingdom,308
549682,11.04.2011,12596,Spain,270
549683,11.04.2011,14273,United Kingdom,113
549684,11.04.2011,777777,United Kingdom,30
549687,11.04.2011,12363,Unspecified,297
549689,11.04.2011,15971,United Kingdom,23
549690,11.04.2011,17841,United Kingdom,380
549691,11.04.2011,13549,United Kingdom,184
549693,11.04.2011,14696,United Kingdom,285
549694,11.04.2011,15414,United Kingdom,35
549695,11.04.2011,777777,United Kingdom,0
549696,11.04.2011,13089,United Kingdom,153
549705,11.04.2011,13668,United Kingdom,146
549711,11.04.2011,13654,United Kingdom,486
549712,11.04.2011,777777,United Kingdom,15
549713,11.04.2011,17611,United Kingdom,281
549714,11.04.2011,777777,United Kingdom,51
549715,11.04.2011,13203,United Kingdom,166
549716,11.04.2011,14628,United Kingdom,333
549717,11.04.2011,14606,United Kingdom,15
549718,11.04.2011,13846,United Kingdom,253
549719,11.04.2011,14326,United Kingdom,184
549720,11.04.2011,14606,United Kingdom,145
549721,11.04.2011,14911,EIRE,256
549722,11.04.2011,17236,United Kingdom,118
549728,11.04.2011,17799,United Kingdom,115
549729,11.04.2011,13634,United Kingdom,265
549730,11.04.2011,15867,United Kingdom,216
549732,11.04.2011,15615,United Kingdom,758
549733,11.04.2011,17827,United Kingdom,313
549734,11.04.2011,16409,United Kingdom,531
549735,12.04.2011,13824,United Kingdom,659
549736,12.04.2011,13599,United Kingdom,172
549737,12.04.2011,13599,United Kingdom,159
549738,12.04.2011,777777,Hong Kong,1537
549739,12.04.2011,15935,United Kingdom,309
549740,12.04.2011,15981,United Kingdom,520
549741,12.04.2011,13655,United Kingdom,385
549742,12.04.2011,12910,United Kingdom,720
549743,12.04.2011,16186,United Kingdom,391
549744,12.04.2011,15240,United Kingdom,316
549745,12.04.2011,13577,United Kingdom,358
549746,12.04.2011,15251,United Kingdom,2847
549747,12.04.2011,17428,United Kingdom,614
549748,12.04.2011,17428,United Kingdom,498
549749,12.04.2011,12928,United Kingdom,386
549750,12.04.2011,18109,United Kingdom,114
549751,12.04.2011,13089,United Kingdom,739
549752,12.04.2011,13089,United Kingdom,48
549754,12.04.2011,13700,United Kingdom,312
549755,12.04.2011,16843,United Kingdom,395
549756,12.04.2011,14111,United Kingdom,94
549771,12.04.2011,14669,United Kingdom,427
549787,12.04.2011,13268,United Kingdom,183
549789,12.04.2011,17160,United Kingdom,602
549790,12.04.2011,16172,United Kingdom,199
549813,12.04.2011,17972,United Kingdom,137
549825,12.04.2011,12463,Belgium,350
549826,12.04.2011,15044,United Kingdom,440
549828,12.04.2011,15044,United Kingdom,25
549829,12.04.2011,16713,United Kingdom,341
549830,12.04.2011,17811,United Kingdom,118
549831,12.04.2011,14844,United Kingdom,873
549832,12.04.2011,17278,United Kingdom,246
549833,12.04.2011,13458,United Kingdom,1010
549834,12.04.2011,16672,United Kingdom,303
549835,12.04.2011,17511,United Kingdom,1446
549836,12.04.2011,16814,United Kingdom,182
549837,12.04.2011,16705,United Kingdom,1314
549838,12.04.2011,16705,United Kingdom,95
549839,12.04.2011,15212,United Kingdom,102
549841,12.04.2011,15189,United Kingdom,3
549842,12.04.2011,14738,United Kingdom,163
549843,12.04.2011,13157,United Kingdom,299
549844,12.04.2011,12854,United Kingdom,423
549845,12.04.2011,16729,United Kingdom,504
549846,12.04.2011,777777,United Kingdom,0
549847,12.04.2011,15358,United Kingdom,361
549848,12.04.2011,777777,United Kingdom,0
549849,12.04.2011,777777,United Kingdom,0
549850,12.04.2011,16168,United Kingdom,45
549851,12.04.2011,16062,United Kingdom,330
549852,12.04.2011,14289,United Kingdom,149
549874,12.04.2011,16919,United Kingdom,293
549880,12.04.2011,15932,United Kingdom,310
549881,12.04.2011,14032,United Kingdom,303
549885,12.04.2011,17204,United Kingdom,462
549896,12.04.2011,777777,United Kingdom,6
549901,12.04.2011,17180,United Kingdom,267
549902,12.04.2011,14006,United Kingdom,357
549903,12.04.2011,17576,United Kingdom,355
549904,12.04.2011,17180,United Kingdom,47
549906,12.04.2011,14998,United Kingdom,184
549907,12.04.2011,13484,United Kingdom,316
549909,12.04.2011,15777,United Kingdom,294
549910,12.04.2011,16697,United Kingdom,111
549911,13.04.2011,14060,United Kingdom,447
549914,13.04.2011,14931,Channel Islands,292
549915,13.04.2011,18231,United Kingdom,430
549916,13.04.2011,13717,United Kingdom,273
549917,13.04.2011,16607,United Kingdom,146
549918,13.04.2011,17017,United Kingdom,266
549920,13.04.2011,18236,United Kingdom,124
549923,13.04.2011,13138,United Kingdom,195
549924,13.04.2011,16837,United Kingdom,112
549925,13.04.2011,16333,United Kingdom,1119
549926,13.04.2011,16333,United Kingdom,726
549927,13.04.2011,16684,United Kingdom,3695
549928,13.04.2011,16684,United Kingdom,324
549929,13.04.2011,13740,United Kingdom,352
549932,13.04.2011,13534,United Kingdom,123
549933,13.04.2011,15230,United Kingdom,364
549934,13.04.2011,15134,United Kingdom,111
549935,13.04.2011,777777,United Kingdom,0
549936,13.04.2011,15465,United Kingdom,514
549937,13.04.2011,15046,United Kingdom,330
549938,13.04.2011,13199,United Kingdom,408
549939,13.04.2011,16309,United Kingdom,335
549940,13.04.2011,13694,United Kingdom,1356
549941,13.04.2011,13694,United Kingdom,82
549942,13.04.2011,12971,United Kingdom,136
549943,13.04.2011,13544,United Kingdom,120
549944,13.04.2011,14262,United Kingdom,237
549946,13.04.2011,17819,United Kingdom,190
549947,13.04.2011,18260,United Kingdom,451
549948,13.04.2011,777777,United Kingdom,0
549949,13.04.2011,13208,United Kingdom,208
549950,13.04.2011,777777,United Kingdom,0
549951,13.04.2011,13134,United Kingdom,504
549952,13.04.2011,777777,United Kingdom,0
549953,13.04.2011,12766,Portugal,1205
549954,13.04.2011,13700,United Kingdom,173
549956,13.04.2011,14898,United Kingdom,188
549957,13.04.2011,13539,United Kingdom,152
549958,13.04.2011,17589,United Kingdom,589
549959,13.04.2011,16097,United Kingdom,185
549961,13.04.2011,16652,United Kingdom,26
549964,13.04.2011,13122,United Kingdom,909
549965,13.04.2011,16966,United Kingdom,409
549966,13.04.2011,16224,United Kingdom,376
549967,13.04.2011,17873,United Kingdom,492
549969,13.04.2011,13408,United Kingdom,382
549970,13.04.2011,15026,United Kingdom,122
549971,13.04.2011,13408,United Kingdom,33
549972,13.04.2011,13408,United Kingdom,410
549974,13.04.2011,17746,United Kingdom,112
549975,13.04.2011,16175,United Kingdom,274
549976,13.04.2011,15855,United Kingdom,107
549977,13.04.2011,14810,United Kingdom,175
549978,13.04.2011,14834,United Kingdom,244
549979,13.04.2011,17511,United Kingdom,31
549980,13.04.2011,14062,United Kingdom,318
549981,13.04.2011,16348,United Kingdom,299
549982,13.04.2011,17091,United Kingdom,503
549983,13.04.2011,16348,United Kingdom,158
549984,13.04.2011,15147,United Kingdom,623
549985,13.04.2011,15640,United Kingdom,1107
549988,13.04.2011,14367,United Kingdom,433
549989,13.04.2011,13221,United Kingdom,352
549990,13.04.2011,16678,United Kingdom,148
549991,14.04.2011,18229,United Kingdom,348
549992,14.04.2011,17669,United Kingdom,517
549993,14.04.2011,14057,United Kingdom,349
549994,14.04.2011,14057,United Kingdom,42
549995,14.04.2011,16131,United Kingdom,1060
549996,14.04.2011,15189,United Kingdom,375
549997,14.04.2011,15189,United Kingdom,183
549998,14.04.2011,17675,United Kingdom,497
549999,14.04.2011,15813,United Kingdom,769
550000,14.04.2011,17058,United Kingdom,579
550001,14.04.2011,17704,United Kingdom,390
550002,14.04.2011,12709,Germany,68
550003,14.04.2011,14428,United Kingdom,127
550004,14.04.2011,12569,Germany,278
550005,14.04.2011,17677,United Kingdom,310
550006,14.04.2011,17841,United Kingdom,245
550007,14.04.2011,15125,United Kingdom,527
550008,14.04.2011,15570,United Kingdom,296
550011,14.04.2011,777777,United Kingdom,10
550012,14.04.2011,777777,United Kingdom,40
550015,14.04.2011,17735,United Kingdom,848
550016,14.04.2011,15416,United Kingdom,900
550017,14.04.2011,17865,United Kingdom,570
550025,14.04.2011,17315,United Kingdom,146
550030,14.04.2011,17315,United Kingdom,43
550031,14.04.2011,13629,United Kingdom,642
550032,14.04.2011,15139,United Kingdom,56
550033,14.04.2011,15005,United Kingdom,188
550034,14.04.2011,16187,United Kingdom,712
550035,14.04.2011,15039,United Kingdom,788
550052,14.04.2011,17068,United Kingdom,418
550054,14.04.2011,14040,United Kingdom,170
550057,14.04.2011,14606,United Kingdom,130
550071,14.04.2011,16735,United Kingdom,438
550106,14.04.2011,13772,United Kingdom,231
550120,14.04.2011,17071,United Kingdom,278
550121,14.04.2011,15271,United Kingdom,148
550122,14.04.2011,12931,United Kingdom,1488
550123,14.04.2011,777777,United Kingdom,323
550124,14.04.2011,12853,United Kingdom,329
550125,14.04.2011,13317,United Kingdom,446
550126,14.04.2011,12853,United Kingdom,130
550128,14.04.2011,777777,United Kingdom,33
550129,14.04.2011,13001,United Kingdom,638
550130,14.04.2011,14390,United Kingdom,504
550131,14.04.2011,15935,United Kingdom,108
550132,14.04.2011,16933,United Kingdom,225
550133,14.04.2011,777777,United Kingdom,0
550134,14.04.2011,16249,United Kingdom,814
550135,14.04.2011,15769,United Kingdom,1220
550136,14.04.2011,16957,United Kingdom,301
550137,14.04.2011,12477,Germany,2225
550138,14.04.2011,12841,United Kingdom,165
550144,14.04.2011,16520,United Kingdom,295
550145,14.04.2011,12637,France,667
550148,14.04.2011,16882,United Kingdom,204
550149,14.04.2011,13069,United Kingdom,331
550150,14.04.2011,15230,United Kingdom,59
550151,14.04.2011,13089,United Kingdom,140
550152,14.04.2011,17362,United Kingdom,160
550153,14.04.2011,777777,United Kingdom,0
550154,14.04.2011,13069,United Kingdom,104
550155,14.04.2011,14198,United Kingdom,183
550156,14.04.2011,17381,United Kingdom,502
550157,14.04.2011,16393,United Kingdom,128
550158,14.04.2011,13989,United Kingdom,897
550159,14.04.2011,14062,United Kingdom,1423
550160,14.04.2011,17930,United Kingdom,391
550161,14.04.2011,14154,United Kingdom,422
550162,14.04.2011,12569,Germany,169
550163,14.04.2011,14154,United Kingdom,925
550164,14.04.2011,13590,United Kingdom,300
550167,14.04.2011,14206,United Kingdom,326
550169,14.04.2011,14482,United Kingdom,240
550173,14.04.2011,15235,United Kingdom,187
550178,14.04.2011,12662,Germany,446
550179,14.04.2011,15220,United Kingdom,195
550180,14.04.2011,14163,United Kingdom,413
550182,14.04.2011,18198,United Kingdom,331
550183,14.04.2011,14105,United Kingdom,1267
550184,14.04.2011,17601,United Kingdom,117
550185,14.04.2011,17142,United Kingdom,577
550186,14.04.2011,14051,United Kingdom,504
550187,14.04.2011,13811,Germany,258
550188,14.04.2011,12457,Switzerland,671
550189,14.04.2011,13230,United Kingdom,236
550190,14.04.2011,15135,United Kingdom,140
550191,14.04.2011,16806,United Kingdom,244
550192,15.04.2011,12582,Finland,307
550193,15.04.2011,13952,United Kingdom,2050
550194,15.04.2011,15270,United Kingdom,298
550196,15.04.2011,14796,United Kingdom,422
550197,15.04.2011,15581,United Kingdom,40
550198,15.04.2011,13120,United Kingdom,31
550199,15.04.2011,16523,United Kingdom,395
550200,15.04.2011,16523,United Kingdom,64
550201,15.04.2011,12769,Brazil,1139
550202,15.04.2011,13090,United Kingdom,760
550203,15.04.2011,777777,United Kingdom,287
550204,15.04.2011,777777,United Kingdom,276
550205,15.04.2011,777777,United Kingdom,479
550206,15.04.2011,777777,United Kingdom,586
550207,15.04.2011,777777,United Kingdom,532
550208,15.04.2011,777777,United Kingdom,847
550209,15.04.2011,777777,United Kingdom,634
550210,15.04.2011,777777,United Kingdom,787
550211,15.04.2011,777777,United Kingdom,411
550212,15.04.2011,777777,United Kingdom,423
550213,15.04.2011,777777,United Kingdom,584
550214,15.04.2011,777777,United Kingdom,687
550215,15.04.2011,777777,United Kingdom,876
550216,15.04.2011,13516,United Kingdom,147
550218,15.04.2011,14408,United Kingdom,354
550242,15.04.2011,13117,United Kingdom,65
